Text,Label,Score
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,anger,0.938
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger,0.8959999999999999
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,0.8959999999999999
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger,0.8959999999999999
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger,0.8959999999999999
My blood is boiling,anger,0.875
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt,anger,0.875
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",anger,0.875
"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",anger,0.875
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,0.875
im so mad about power rangers. im incensed. im furious.,anger,0.667
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger,0.8540000000000001
Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger,0.8540000000000001
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",anger,0.938
Fuking fuming 😤,anger,0.8540000000000001
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,anger,0.8540000000000001
@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger,0.8540000000000001
"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger,0.833
why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger,0.812
Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,anger,0.812
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger,0.8909999999999999
I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger,0.812
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",anger,0.812
"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",anger,0.792
Actually fuming I have nothing to wear Saturday,anger,0.792
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792
Bloody parking ticket 😒💸 #fuming,anger,0.792
You ever just find that the people around you really irritate you sometimes? That's me right now 😒,anger,0.792
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger,0.792
"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger,0.792
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger,0.792
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,anger,0.792
Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,anger,0.792
@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger,0.792
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger,0.792
@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,anger,0.792
@SunandBeachBum 'you people' infuriate me!,anger,0.792
@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger,0.792
So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger,0.7709999999999999
Still can't log into my fucking Snapchat#Snapchat #snap,anger,0.9
@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger,0.7709999999999999
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",anger,0.7709999999999999
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger,0.7709999999999999
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages ",anger,0.733
i feel furious,anger,0.7709999999999999
Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger,0.7709999999999999
Still can't log into my fucking Snapchat #Snapchat ,anger,0.7709999999999999
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger,0.7709999999999999
People irritate my MF soul,anger,0.7709999999999999
Im so angry 😂🙃,anger,0.75
People fuckin irritate me,anger,0.75
"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge",anger,0.84
That way ur so angry you can literally feel ur blood boiling,anger,0.75
@KatzeAnilothei this amount of greedy mooching makes me snarl.,anger,0.75
My mind is raging and i just want to end it all,anger,0.75
Absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡,anger,0.75
I'm nothing but a hateful and bitter fag,anger,0.75
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger,0.75
@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,anger,0.75
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger,0.75
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger,0.8440000000000001
So angry I wanna cry😢😢😢,anger,0.75
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,anger,0.75
Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger,0.75
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger,0.885
my mom cut my phone off and I'm so furious 🤗,anger,0.75
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75
can't believe Achilles killed me! #angry,anger,0.75
I lost a couple niggas I want revenge so put me in coach,anger,0.875
@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you 😕,anger,0.75
Where's your outrage when a black man kills another black man in the streets?,anger,0.75
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75
Absolutely fuming I've just scratched all my car 😡😡😡😡😡😡,anger,0.75
@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,anger,0.5529999999999999
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##,anger,0.7290000000000001
I dislike people who get offended by the littlest shit .,anger,0.7290000000000001
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",anger,0.7290000000000001
"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",anger,0.7290000000000001
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger,0.7290000000000001
@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger,0.8640000000000001
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended,anger,0.7290000000000001
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger,0.863
Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer #angry,anger,0.7290000000000001
but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,0.7290000000000001
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger,0.873
@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger,0.5379999999999999
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",anger,0.7290000000000001
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! ,anger,0.7290000000000001
@ChurdAllan fucked my coupon that goal! #raging,anger,0.7290000000000001
LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,anger,0.7290000000000001
"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger,0.7290000000000001
Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,anger,0.7290000000000001
Your twitter picture just makes me fume.,anger,0.7290000000000001
"@leesyatt you are a cruel, cruel man. #therewillbeblood ",anger,0.775
"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",anger,0.867
"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger,0.831
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay,anger,0.708
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,anger,0.708
@politico @realDonaldTrump another angry white man!,anger,0.708
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger,0.759
"The majority of people irritate the fuck out of me, cba with people ahahah",anger,0.862
@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,anger,0.708
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,anger,0.708
@kingvee_ don't provoke me to anger,anger,0.708
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,0.708
Bloods boiling,anger,0.708
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger,0.708
@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger,0.8170000000000001
I swear if @devincameron23 blocks me I'm going to hit her back ,anger,0.708
"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger,0.708
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,anger,0.708
I'm just a fuming ball of anger today 🙃,anger,0.708
I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,anger,0.75
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger,0.688
A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,anger,0.688
Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger,0.688
angry already,anger,0.688
... flat party and I instantly get bollocked about it. #fuming,anger,0.69
@XemitSellsMagic add tracking but resent them,anger,0.688
@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,0.688
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger,0.764
"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",anger,0.688
@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,anger,0.688
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,anger,0.688
Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,anger,0.688
@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,anger,0.688
I just love it when people make plans for me without actually including me in this process #rage,anger,0.688
"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger,0.688
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.7659999999999999
@edquinn63 how can you even forget to pick ur fave child up from school #offended,anger,0.688
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,anger,0.688
@soyoprincess they irritate me. Them and their inch thick made up masks,anger,0.667
@ChurdAllan fucked my coupon that goal! ,anger,0.667
How was Natalie one of the top three favorites?! #toofaced and #bitter 🙄,anger,0.667
@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,anger,0.667
@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,anger,0.667
"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger,0.578
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,anger,0.667
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger,0.667
All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting,anger,0.667
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger,0.667
i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN,anger,0.667
testing #angry,anger,0.667
@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard,anger,0.667
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious,anger,0.833
i was angry.,anger,0.667
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger,0.667
@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡,anger,0.667
@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting,anger,0.667
straight people are canoodling on the quad and I'm #offended,anger,0.648
"I can definitely feel my irritation today, lord give me strength",anger,0.667
@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄,anger,0.6459999999999999
When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,anger,0.812
@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming,anger,0.6459999999999999
I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,anger,0.6459999999999999
@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,anger,0.6459999999999999
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.6459999999999999
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen.  #loathing,anger,0.6459999999999999
"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger,0.6459999999999999
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,anger,0.6459999999999999
"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",anger,0.6459999999999999
People irritate me 🙄,anger,0.6459999999999999
Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,anger,0.6459999999999999
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",anger,0.6459999999999999
I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger,0.6459999999999999
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 #fuming,anger,0.6459999999999999
@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the #outrage,anger,0.6459999999999999
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",anger,0.6459999999999999
Does she really need to pout all the time - getting on my nerves #GBBO,anger,0.6459999999999999
Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,anger,0.6459999999999999
@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,anger,0.6459999999999999
"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter",anger,0.6459999999999999
"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger,0.556
@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,anger,0.6459999999999999
Forgot to eat dinner and now I'm furious with everything and everyone,anger,0.6459999999999999
the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap 🤗,anger,0.6459999999999999
"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",anger,0.69
Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,anger,0.6459999999999999
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!,anger,0.6459999999999999
You a fuck boy if you run drag routes back to back in madden,anger,0.6459999999999999
I got fever highs\nI got boiling blood,anger,0.6459999999999999
@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits,anger,0.6459999999999999
I can't even right now #bb18 #rage,anger,0.6459999999999999
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.47200000000000003
Why are people that don't have iPhones so bitter about iPhones???? Can someone explain,anger,0.625
@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,anger,0.625
@deshbhakthoon always unhappy and easily offended.,anger,0.531
"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it",anger,0.625
All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,anger,0.625
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA  #oldcunt,anger,0.625
Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott,anger,0.625
Not giving a fuck is better than revenge.,anger,0.625
@winksahoy we about to get shit on by the wrath of winter out of nowhere,anger,0.625
@GrxjicTank WHY though! Why did u want to offend Americans?,anger,0.625
@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the ,anger,0.625
@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger,0.625
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice,anger,0.625
Thought the Xbox one s madden bundle would come with a physical copy of madden not a code😴 it's gonna take fucking forever to download lol,anger,0.625
@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,anger,0.625
#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,anger,0.5429999999999999
The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,anger,0.625
@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,anger,0.5710000000000001
I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger,0.625
Forever angry that gh ruined Molly and morgan's bond/friendship #bitter,anger,0.625
Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,anger,0.625
@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,anger,0.625
Can't believe I've only got 2 days off left 🙄 #backtoreality #raging,anger,0.625
@Austin4evaLEEDS fuming!,anger,0.625
Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,anger,0.625
Ever put your fist through your laptops screen? If so its time for a new one lmao   #hp,anger,0.625
•My brother grabbed me in a aggressive manner and as always @ImpetuousFiend threw tantrums like a kid only knowing how to express himself--,anger,0.625
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger,0.604
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger,0.604
"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation",anger,0.604
I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. 😑,anger,0.604
I don't talk about politics because people nowadays get offended easily!,anger,0.479
@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,anger,0.46799999999999997
"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.",anger,0.604
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,anger,0.604
"@Will_0004 No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to go",anger,0.604
I genuinely think I have anger issues,anger,0.604
@judy_that Im honestly offended,anger,0.604
Michelle is one of the worst players in bb history #bb18 #bbfinale #bitter,anger,0.604
I'm so annoyed/sad YouTube is burning itself to the ground 🙄🙄,anger,0.604
"How can I tell Happy Anniversary, when u are not happy.. #bitter #ampalaya #paitpaitanangpeg",anger,0.604
Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer ,anger,0.604
"Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour",anger,0.596
When someone rudely says all women should have long hair and your inner feminist tries not to rage,anger,0.604
"Absolutely raging at the changes to CAS, what a joke",anger,0.604
Girls irritate me so much lol,anger,0.527
@LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.,anger,0.604
@xxmariab listen yh don't provoke me cos I'll make you cry,anger,0.604
@luxbet Did you even give out any pizzas ? Serious fail #hungry #furious #hangry,anger,0.447
Bloody parking ticket 😒💸 ,anger,0.583
@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! ,anger,0.583
@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! ,anger,0.583
"They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these...",anger,0.583
And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt #offended,anger,0.583
@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking. #Hillary #divide  #chaos,anger,0.583
"@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated",anger,0.629
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,anger,0.583
@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,anger,0.583
@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,anger,0.583
Delete this shit Josh just screenshotted my snap me,anger,0.583
Can someone make me a priority list of which things I should be outraged at + in which order? #outrage #racism #animalrights #abortion #cops,anger,0.583
@CorbettBarr @pjrvs @brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch.,anger,0.583
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ #fuming,anger,0.583
I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,anger,0.583
"You will never find someone who loved you like I did. And that my love, will be my revenge.",anger,0.583
A @FirstBSA not turning up? Why am I not surprised. Late for work again! ,anger,0.583
"If you be #angry, which may be the case, &amp; which may be unavoidable, see that the sudden excitement does not become sin. #AlbertBarnes",anger,0.583
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),anger,0.583
I am just so bitter today 😐,anger,0.583
@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.,anger,0.5
@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #😂😂,anger,0.583
Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned. #pout #AdultingIsTheWorst,anger,0.583
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH #rage,anger,0.583
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ ,anger,0.583
@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.,anger,0.583
@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. #bitter,anger,0.583
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! ,anger,0.583
@alicehouston18 sorry I'm just angry my drone flew away,anger,0.583
@carefreeash_ id be fuming,anger,0.583
@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,anger,0.562
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes,anger,0.562
Why mfs so bitter,anger,0.562
"im on holiday for the next round, fuming!",anger,0.562
Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of #anger?,anger,0.598
@nytopinion  The point of voting for Trump to push all the pieces off the board game like an angry toddler? Wreck everything for everybody?,anger,0.562
"Like if you aggravate me constantly, byeeeeeeee",anger,0.562
"@Lexual__ @jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage?",anger,0.562
Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l...,anger,0.562
hitting your children as discipline because you're being quite a raging hypocrite if you're not.,anger,0.562
sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt;,anger,0.562
@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.,anger,0.562
@JuliaHB1 Bloody right ,anger,0.562
i have so much hw tonight im offended,anger,0.519
